Action,Comedy,Crime;Kick-Ass 2;hit in the crotch,kicked in the crotch,punched in the crotch,sparring,superhero
Adventure,Drama,History,Romance,Thriller,War;Captain Alatriste: The Spanish Musketeer;desire,fighting,king,spain,trap
Action,Crime,Drama,Thriller;Brick Mansions;bare chested male bondage,crime lord,die hard scenario,two word title,undercover
Action,Adventure,Thriller;Octopussy;agent,egg,faberge egg,general,russian
Comedy,Romance;Knocked Up;one night stand,pregnancy,slacker,unplanned pregnancy,website
Drama;My Sister's Keeper;hospital,leukemia,oncology,sick child,terminal illness
Comedy,Drama,Romance;Welcome Home, Roscoe Jenkins;african american protagonist,comma in title,four word title,name in title,talk show host
Adventure,Drama,History;A Passage to India;doctor,english,india,magistrate,mosque
Crime,Drama,Romance,Thriller;Notes on a Scandal;age difference,school,student,teacher,writing
Drama,Thriller;Rendition;american,bare chested male bondage,cia,detention,interrogation
